ID,Name,Description,CLTS_ID,CLTS_BIPA,CLTS_Name,Lexibank_BIPA,Prosody
0070_i,p,voiceless bilabial stop consonant,,p,voiceless bilabial stop consonant,p,i
0070-02b0_i,pʰ,aspirated voiceless bilabial stop consonant,,pʰ,aspirated voiceless bilabial stop consonant,pʰ,i
0074_i,t,voiceless alveolar stop consonant,,t,voiceless alveolar stop consonant,t,i
0074-02b0_i,tʰ,aspirated voiceless alveolar stop consonant,,tʰ,aspirated voiceless alveolar stop consonant,tʰ,i
006b_i,k,voiceless velar stop consonant,,k,voiceless velar stop consonant,k,i
006b-02b0_i,kʰ,aspirated voiceless velar stop consonant,,kʰ,aspirated voiceless velar stop consonant,kʰ,i
0294_i,ʔ,voiceless glottal stop consonant,,ʔ,voiceless glottal stop consonant,ʔ,i
02a6_i,ʦ,voiceless alveolar sibilant affricate consonant,,ts,voiceless alveolar sibilant affricate consonant,ts,i
02a6-02b0_i,ʦʰ,aspirated voiceless alveolar sibilant affricate consonant,,tsʰ,aspirated voiceless alveolar sibilant affricate consonant,tsʰ,i
02a8_i,ʨ,voiceless alveolo-palatal sibilant affricate consonant,,tɕ,voiceless alveolo-palatal sibilant affricate consonant,tɕ,i
02a8-02b0_i,ʨʰ,aspirated voiceless alveolo-palatal sibilant affricate consonant,,tɕʰ,aspirated voiceless alveolo-palatal sibilant affricate consonant,tɕʰ,i
0073_i,s,voiceless alveolar sibilant fricative consonant,,s,voiceless alveolar sibilant fricative consonant,s,i
007a_i,z,voiced alveolar sibilant fricative consonant,,z,voiced alveolar sibilant fricative consonant,z,i
0255_i,ɕ,voiceless alveolo-palatal sibilant fricative consonant,,ɕ,voiceless alveolo-palatal sibilant fricative consonant,ɕ,i
0291_i,ʑ,voiced alveolo-palatal sibilant fricative consonant,,ʑ,voiced alveolo-palatal sibilant fricative consonant,ʑ,i
0078_i,x,voiceless velar fricative consonant,,x,voiceless velar fricative consonant,x,i
0263_i,ɣ,voiced velar fricative consonant,,ɣ,voiced velar fricative consonant,ɣ,i
006d_i,m,voiced bilabial nasal consonant,,m,voiced bilabial nasal consonant,m,i
0077_i,w,voiced labio-velar approximant consonant,,w,voiced labio-velar approximant consonant,w,i
006c_i,l,voiced alveolar lateral approximant consonant,,l,voiced alveolar lateral approximant consonant,l,i
0235_i,ȵ,voiced alveolo-palatal nasal consonant,,ȵ,voiced alveolo-palatal nasal consonant,ȵ,i
006a_i,j,voiced palatal approximant consonant,,j,voiced palatal approximant consonant,j,i
014b_i,ŋ,voiced velar nasal consonant,,ŋ,voiced velar nasal consonant,ŋ,i
0069_n,i,unrounded close front vowel,,i,unrounded close front vowel,i,n
0264_n,ɤ,unrounded close-mid back vowel,,ɤ,unrounded close-mid back vowel,ɤ,n
0061_n,a,unrounded open front vowel,,a,unrounded open front vowel,a,n
0254_n,ɔ,rounded open-mid back vowel,,ɔ,rounded open-mid back vowel,ɔ,n
0075_n,u,rounded close back vowel,,u,rounded close back vowel,u,n
0061-0069_n,ai,from unrounded open front to unrounded close front diphthong,,ai,from unrounded open front to unrounded close front diphthong,ai,n
0065-0069_n,ei,from unrounded close-mid front to unrounded close front diphthong,,ei,from unrounded close-mid front to unrounded close front diphthong,ei,n
0061-0075_n,au,from unrounded open front to rounded close back diphthong,,au,from unrounded open front to rounded close back diphthong,au,n
006f-0075_n,ou,from rounded close-mid back to rounded close back diphthong,,ou,from rounded close-mid back to rounded close back diphthong,ou,n
0129_n,ĩ,nasalized unrounded close front vowel,,ĩ,nasalized unrounded close front vowel,ĩ,n
