ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,SubGroup,Name_in_Source,Location
LongshanHusiL,Longshan Husi L,nort2732,,tji,,,,,Northern,FX,Laxidong
XiaTujia,Xia Tujia,nort2732,,tji,,,,,Northern,XR,Xianren
GuzhangHusi,Guzhang Husi,nort2732,,tji,,,,,Northern,XL,Xialongre
Cebu,Cebu,sout2739,,tjs,,,,,Southern,CB,Cebu
LongshanHusiT,Longshan Husi T,nort2732,,tji,,,,,Northern,TS,Tasha
CajiAdi,Caji-adi,sout2739,,tjs,,,,,Southern,CJ,Caji-adi 下且己
ProtoBizic,Proto-Bizic,,,,,,,,,PBz,
