ID,Name,Concepticon_ID,Concepticon_Gloss,Chinese_Gloss,Number
1_all,all,98,ALL,全部,1
2_almost,almost,,,快要,2
3_ant,ant,587,ANT,螞蟻,3
4_ashes,ashes,646,ASH,灰,4
5_atfirst,at first,2915,AT FIRST,先,5
6_bad,bad,1292,BAD,壞,6
7_bamboo,bamboo,1927,BAMBOO,竹子,7
8_bamboomat,bamboo mat,3240,BAMBOO MAT,竹蓆,8
9_beast,beast,958,WILD ANIMAL,獸,9
10_bed,bed,1663,BED,牀,10
11_belly,belly,1251,BELLY,肚子,11
12_belt,belt,772,BELT,腰帶,12
13_big,big,1202,BIG,大,13
14_bitter,bitter,887,BITTER,苦,14
15_black,black,163,BLACK,黑,15
16_blood,blood,946,BLOOD,血,16
17_boat,boat,1844,BOAT,船,17
18_boilingwater,boiling water,3362,BOILED WATER,開（水）,18
19_bottom,bottom,834,BUTTOCKS,底下,19
20_bovine,bovine,3044,BOVINE,牛,20
21_bowl,bowl,1530,BOWL,碗,21
22_bran,bran,2362,BRAN,糠,22
23_bright,bright,679,BRIGHT,亮,23
24_bug,bug,1027,BUG,蟲,24
25_buy,buy,1869,BUY,買,25
26_cat,cat,1208,CAT,貓,26
27_cave,cave,1155,CAVE,洞,27
28_cedartree,cedar tree,,,杉樹,28
29_chilly,chilly,2483,COLD (OF WEATHER),涼,29
30_chinese,Chinese,3373,HAN CHINESE,漢,30
31_chopsticks,chopsticks,1987,CHOPSTICKS,筷子,31
32_clforanimals,cl. for animals,3056,ANIMAL (CLASSIFIER),（一）頭（牛）,32
33_clfforclothes,clf. for clothes,2088,CLOTHING (CLASSIFIER),件,33
34_clfforgeneralobjects,clf. for general objects,,,個,34
35_cloth,cloth,1616,CLOTH,布,35
36_clothes,clothes,1895,CLOTHES,衣服,36
37_cold,cold,1287,COLD,冷,37
38_comb,comb,1475,COMB,梳子,38
39_crow,crow,913,CROW,烏鴉,39
40_daughterinlaw,daughter-in-law,1057,DAUGHTER-IN-LAW,兒媳,40
41_day,day,1260,DAY (24 HOURS),（一）天,41
42_deaf,deaf,996,DEAF,聾,42
43_dew,dew,1977,DEW,露水,43
44_diluted,diluted,,,稀,44
45_direction,direction,3427,DIRECTION,方向,45
46_divide,divide,1359,SEPARATE,分,46
47_dragon,dragon,2038,DRAGON,龍,47
48_drill,drill,3423,DRILL,鑽子,48
49_drink,drink,1401,DRINK,喝,49
50_drum,drum,908,DRUM,鼓,50
51_drunk,drunk,1463,DRUNK,醉,51
52_dry,dry,1398,DRY,乾,52
53_dustpan,dustpan,2051,DUSTPAN,簸箕,53
