ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Context
TS_0070_i,TS,0070_i,p,,,Zhou2021,i
TS_0070-02b0_i,TS,0070-02b0_i,pʰ,,,Zhou2021,i
TS_0074_i,TS,0074_i,t,,,Zhou2021,i
TS_0074-02b0_i,TS,0074-02b0_i,tʰ,,,Zhou2021,i
TS_006b_i,TS,006b_i,k,,,Zhou2021,i
TS_006b-02b0_i,TS,006b-02b0_i,kʰ,,,Zhou2021,i
TS_0294_i,TS,0294_i,ʔ,,,Zhou2021,i
TS_02a6_i,TS,02a6_i,ʦ,,,Zhou2021,i
TS_02a6-02b0_i,TS,02a6-02b0_i,ʦʰ,,,Zhou2021,i
TS_02a8_i,TS,02a8_i,ʨ,,,Zhou2021,i
TS_02a8-02b0_i,TS,02a8-02b0_i,ʨʰ,,,Zhou2021,i
TS_0073_i,TS,0073_i,s,,,Zhou2021,i
TS_007a_i,TS,007a_i,z,,,Zhou2021,i
TS_0255_i,TS,0255_i,ɕ,,,Zhou2021,i
TS_0291_i,TS,0291_i,ʑ,,,Zhou2021,i
TS_0078_i,TS,0078_i,x,,,Zhou2021,i
TS_0263_i,TS,0263_i,ɣ,,,Zhou2021,i
TS_006d_i,TS,006d_i,m,,,Zhou2021,i
TS_0077_i,TS,0077_i,w,,,Zhou2021,i
TS_006c_i,TS,006c_i,l,,,Zhou2021,i
TS_0235_i,TS,0235_i,ȵ,,,Zhou2021,i
TS_006a_i,TS,006a_i,j,,,Zhou2021,i
TS_014b_i,TS,014b_i,ŋ,,,Zhou2021,i
TS_0069_n,TS,0069_n,i,,,Zhou2021,n
TS_0264_n,TS,0264_n,ɤ,,,Zhou2021,n
TS_0061_n,TS,0061_n,a,,,Zhou2021,n
TS_0254_n,TS,0254_n,ɔ,,,Zhou2021,n
TS_0075_n,TS,0075_n,u,,,Zhou2021,n
TS_0061-0069_n,TS,0061-0069_n,ai,,,Zhou2021,n
