Grapheme	IPA
$	NULL
*	NULL
*zɑ²/@?	z a ²
*ɯ	ɯ
*ʥi¹ᴹ/@?	dʑ i ¹ᴹ/³
-	NULL
1$	NULL
?	NULL
?$	NULL
@	ə
C	C/c
C$	C/c
^	NULL
^*	NULL
^*s	s
^*tɑ²/⁴	t a ²
^*zɑ²/@?	z ɑ ²
^*ɕ	ɕ
^*ɯ	ɯ
^*ʑ	ʑ
^*ʥi¹ᴹ/@?	dʑ i ¹ᴹ/³
^a	a
^au	au
^b	b
^d	d
^e	e
^ei	ei
^f	f
^g	g
^i	i
^ie	i/j e
^j	j
^k	k
^kʰ	kʰ
^l	l
^m	m
^m̩	m̩
^n	n
^o	o
^p	p
^pʰ	pʰ
^pʰ̬	p̬ʰ
^s	s
^t	t
^th	tʰ
^tɕ	tɕ
^tɕʰ	tɕʰ
^tʰ	tʰ
^u	u
^w	w
^x	x
^z	z
^ã	ã
^õ	õ
^ħ	ħ
^ĩ	ĩ
^ŋ	ŋ
^ǳ	d
^ȵ	ȵ
^ɔ̃	ɔ̃
^ɕ	ɕ
^ə	ə
^ɣ	ɣ
^ɤ	ɤ
^ɯ	ɯ
^ʑ	ʑ
^ʔ	ʔ
^ʕ	ʕ
^ʥ	dʑ
^ʦ	ts
^ʦʰ	tsʰ
^ʨ	tɕ
^ʨʰ	tɕʰ
^⁵⁵$	⁵⁵
_	+
_ʰ	NULL
a	a
ai	ai
ao	ao
au	au
b	b
d	d
e	e
ei	ei
g	g
i	i
i$	i
ia	i/j a
ie	i/j e
ie$	i/j e
io	io
iu	i/j u
iã	i/j ã
iɛ	i/j ɛ
j	j
k	k
kʰ	kʰ
l	l
m	m
m̩	m̩
n	n
n$	n
o	o
p	p
pʰ	pʰ
s	s
t	t
tʰ	tʰ
u	u
ua	u/w a
uã	u/w ã
uɔ	u/w ɔ
w	w
x	x
x$	x
z	z
²	²
²$	²
²¹	²¹
²¹$	²¹
²⁴	²⁴
²⁴$	²⁴
³	³
³$	³
³³	³³
³³$	³³
³¹	³¹
³¹$	³¹
³⁵	³⁵
³⁵$	³⁵
¹³	¹³
¹³$	¹³
¹ᴴ	¹ᴴ/¹
¹ᴴ$	¹ᴴ/⁵
¹ᴸ	¹ᴸ/⁵
¹ᴸ$	¹ᴸ/¹
¹ᴹ	¹ᴹ/³
¹ᴹ$	¹ᴹ/³
Ø	Ø/ə
ã	ã
æ	æ
æ$	æ
õ	õ
ħ	ħ
ĩ	ĩ
ŋ	ŋ
ũ	ũ
ǳ	d
ȵ	ȵ
ɑ	ɑ
ɔ	ɔ
ɔu	ɔu
ɔ̃	ɔ̃
ɕ	ɕ
ə	ə
əu	əu
ɛ	ɛ
ɣ	ɣ
ɤ	ɤ
ɤi	ɤi
ɨ	ɨ
ɨe	ɨe
ɯ	ɯ
ɯe	ɯ/ɰ e
ɯu	ɯ/ɰ u
ɯə	ɯ/ɰ ə
ɯɛ	ɯɛ
ɹ	ɹ
ɹ̩	ɹ̩
ɿ	ɿ
ʉ	ʉ
ʑ	ʑ
ʔ	ʔ
ʕ	ʕ
ʥ	dʑ
ʦ	ts
ʦʰ	tsʰ
ʨ	tɕ
ʨʰ	tɕʰ
ʰo¹³	h o ¹³
ẽ	ẽ
⁴	⁴
⁴$	⁴
⁴⁴	⁴⁴
⁴⁴$	⁴⁴
⁵$	⁵
⁵²$	⁵²
⁵³	⁵³
⁵³$	⁵³
⁵¹	⁵¹
⁵¹$	⁵¹
⁵⁴	⁵⁴
⁵⁴$	⁵⁴
⁵⁵	⁵⁵
⁵⁵$	⁵⁵
不	NULL
亞$	NULL
会$	NULL
體	NULL
