NUMBER	ENGLISH	CHINESE	GLOSSES_IN_SOURCE	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1	all	 全部		98	ALL
2	almost	 快要			
3	ant	 螞蟻		587	ANT
4	ashes	 灰		646	ASH
5	at first	 先		2915	AT FIRST
6	bad	 壞		1292	BAD
7	bamboo	 竹子		1927	BAMBOO
8	bamboo mat	 竹蓆		3240	BAMBOO MAT
9	beast	 獸		958	WILD ANIMAL
10	bed	 牀		1663	BED
11	belly	 肚子		1251	BELLY
12	belt	 腰帶		772	BELT
13	big	 大		1202	BIG
14	bitter	 苦		887	BITTER
15	black	 黑		163	BLACK
16	blood	 血		946	BLOOD
17	boat	 船		1844	BOAT
18	boiling water	 開（水）		3362	BOILED WATER
19	bottom	 底下		834	BUTTOCKS
20	bovine	 牛		3044	BOVINE
21	bowl	 碗		1530	BOWL
22	bran	 糠		2362	BRAN
23	bright	 亮		679	BRIGHT
24	bug	 蟲		1027	BUG
25	buy	 買		1869	BUY
26	cat	 貓		1208	CAT
27	cave	 洞		1155	CAVE
28	cedar tree	 杉樹			
29	chilly	 涼			
30	Chinese	 漢		3373	HAN CHINESE
31	chopsticks	 筷子		1987	CHOPSTICKS
32	cl. for animals	 （一）頭（牛）			
33	clf. for clothes	 件			
34	clf. for general objects	 個			
35	cloth	 布		1616	CLOTH
36	clothes	 衣服		1895	CLOTHES
37	cold	 冷		1287	COLD
38	comb	 梳子		1475	COMB
39	crow	 烏鴉		2074	CROW (VERB)
40	daughter-in-law	 兒媳		1057	DAUGHTER-IN-LAW
41	day	 （一）天		1260	DAY (24 HOURS)
42	deaf	 聾		996	DEAF
43	dew	 露水		1977	DEW
44	diluted	 稀			
45	direction	 方向		3427	DIRECTION
46	divide	 分		1359	SEPARATE
47	dragon	 龍		2038	DRAGON
48	drill	 鑽子		3423	DRILL
49	drink	 喝		1401	DRINK
50	drum	 鼓		908	DRUM
51	drunk	 醉		1463	DRUNK
52	dry	 乾		1398	DRY
53	dustpan	 簸箕		2051	DUSTPAN
54	eagle	 老鷹		1905	EAGLE
55	ear of grain	 穗子		3244	EAR (OF GRAIN)
56	earth	 地		1228	EARTH (SOIL)
57	egg	 蛋		744	EGG
58	eye, blind	 眼睛、盲		1248	EYE
59	face	 臉		1560	FACE
60	fan	 扇子		1971	FAN (OBJECT)
