Value	Lexibank	Prosody	Language_ID
p	p	i	TS
pʰ	pʰ	i	TS
t	t	i	TS
tʰ	tʰ	i	TS
k	k	i	TS
kʰ	kʰ	i	TS
ʔ	ʔ	i	TS
ʦ	ts	i	TS
ʦʰ	tsʰ	i	TS
ʨ	tɕ	i	TS
ʨʰ	tɕʰ	i	TS
s	s	i	TS
z	z	i	TS
ɕ	ɕ	i	TS
ʑ	ʑ	i	TS
x	x	i	TS
ɣ	ɣ	i	TS
m	m	i	TS
w	w	i	TS
l	l	i	TS
ȵ	ȵ	i	TS
j	j	i	TS
ŋ	ŋ	i	TS
i	i	n	TS
ɤ	ɤ	n	TS
a	a	n	TS
ɔ	ɔ	n	TS
u	u	n	TS
ai	ai	n	TS
ei	ei	n	TS
au	au	n	TS
ou	ou	n	TS
ĩ	ĩ	n	TS
ɛ̃	ɛ̃	n	TS
ã	ã	n	TS
ɔ̃	ɔ̃	n	TS
iɛ	i/j ɛ	m n	TS
ia	i/j a	m n	TS
iu	i/j u	m n	TS
iau	i/j au	m n	TS
iou	i/j ou	m n	TS
iɛ̃	i/j ɛ̃	m n	TS
iɔ̃	i/j ɔ̃	m n	TS
ua	u/w a	m n	TS
uɔ	u/w ɔ	m n	TS
uai	u/w ai	m n	TS
uei	u/w ei	m n	TS
uɛ̃	u/w ɛ̃	m n	TS
uã	u/w ã	m n	TS
⁵⁵	⁵⁵	t	TS
²⁴	²⁴	t	TS
³⁵	³⁵	t	TS
²¹	²¹	t	TS
⁵¹	⁵¹	t	TS
⁵³	⁵³	t	TS
p	p	i	XR
pʰ	pʰ	i	XR
t	t	i	XR
tʰ	tʰ	i	XR
k	k	i	XR
kʰ	kʰ	i	XR
ʦ	ts	i	XR
ʦʰ	tsʰ	i	XR
ʨ	tɕ	i	XR
ʨʰ	tɕʰ	i	XR
s	s	i	XR
z	z	i	XR
ɕ	ɕ	i	XR
ʑ	ʑ	i	XR
x	x	i	XR
ɣ	ɣ	i	XR
m	m	i	XR
n	n	i	XR
ȵ	ȵ	i	XR
ŋ	ŋ	i	XR
w	w	i	XR
l	l	i	XR
i	i	n	XR
e	e	n	XR
ɛ	ɛ	n	XR
a	a	n	XR
ɔ	ɔ	n	XR
o	o	n	XR
u	u	n	XR
i	i	n	XR
ĩ	ĩ	n	XR
ẽ	ẽ	n	XR
ɛ̃	ɛ̃	n	XR
ã	ã	n	XR
õ	õ	n	XR
iɛ	i/j ɛ	m n	XR
ie	i/j e	m n	XR
ia	i/j a	m n	XR
iɔ	i/j ɔ	m n	XR
iu	i/j u	m n	XR
iɛ̃	i/j ɛ̃	m n	XR
iã	i/j ã	m n	XR
ɯe	ɯ/ɰ e	m n	XR
ɯə	ɯ/ɰ ə	m n	XR
ɯe	ɯ/ɰ e	m n	XR
ui	u/w i	m n	XR
uɛ	u/w ɛ	m n	XR
ua	u/w a	m n	XR
uɛ̃	u/w ɛ̃	m n	XR
⁵⁵	⁵⁵	t	XR
³⁵	³⁵	t	XR
³³	³³	t	XR
⁵⁴	⁵⁴	t	XR
³¹	³¹	t	XR
p	p	i	XL
pʰ	pʰ	i	XL
b	b	i	XL
t	t	i	XL
tʰ	tʰ	i	XL
d	d	i	XL
k	kʰ	i	XL
kʰ	kʰ	i	XL
g	g	i	XL
ʔ	ʔ	i	XL
ts	ts	i	XL
tsʰ	tsʰ	i	XL
dz	dz	i	XL
tɕ	tɕ	i	XL
tɕʰ	tɕʰ	i	XL
dz	dz	i	XL
m	m	i	XL
n	n	i	XL
ȵ	ȵ	i	XL
ŋ	ŋ	i	XL
w	w	i	XL
l	l	i	XL
j	j	i	XL
i	i	n	XL
e	e	n	XL
ə	ə	n	XL
a	a	n	XL
o	o	n	XL
u	u	n	XL
ei	ei	n	XL
ai	ai	n	XL
əu	əu	n	XL
au	au	n	XL
ẽ	ẽ	n	XL
ã	ã	n	XL
en	e n	n c	XL
an	a n	n c	XL
uŋ	u ŋ	n c	XL
ie	i/j e	m n	XL
iə	i/j ə	m n	XL
ia	i/j a	m n	XL
io	i/j o	m n	XL
iu	i/j u	m n	XL
iau	i/j au	m n	XL
iɛ̃	i/j ɛ̃	m n	XL
iã	i/j ã	m n	XL
in	i/j n	m n	XL
ian	i/j a n	m n c	XL
iuŋ	i/j u ŋ	m n c	XL
ɯe	ɯ/ɰ e	m n	XL
ue	u/w e	m n	XL
ua	u/w a	m n	XL
ui	u/w i	m n	XL
uai	u/w ai	m n	XL
uɛ̃	u/w ɛ̃	m n	XL
uã	u/w ã	m n	XL
un	u n	m n	XL
uan	u/w a n	m n c	XL
⁵⁵	⁵⁵	t	XL
³⁵	³⁵	t	XL
²¹	²¹	t	XL
⁵³	⁵³	t	XL
p	p	i	CB
pʰ	pʰ	i	CB
b	b	i	CB
t	t	i	CB
tʰ	tʰ	i	CB
d	d	i	CB
k	k	i	CB
kʰ	kʰ	i	CB
g	g	i	CB
ts	ts	i	CB
tsʰ	tsʰ	i	CB
dz	dz	i	CB
tɕ	tɕ	i	CB
tɕʰ	tɕʰ	i	CB
dʑ	dʑ	i	CB
f	f	i	CB
s	s	i	CB
