Value	Lexibank	Prosody	Language_ID
z	z	i	CB
ɕ	ɕ	i	CB
x	x	i	CB
ɣ	ɣ	i	CB
ħ	ħ	i	CB
ʕ	ʕ	i	CB
m	m	i	CB
n	n	i	CB
ɲ	ɲ	i	CB
ŋ	ŋ	i	CB
ʔ	ʔ	i	CB
w	w	i	CB
l	l	i	CB
j	j	i	CB
⁵⁵	⁵⁵	t	CB
³³	³³	t	CB
³⁵	³⁵	t	CB
²¹	²¹	t	CB
¹³	¹³	t	CB
i	i	n	CB
ɨ	ɨ	n	CB
e	e	n	CB
a	a	n	CB
o	o	n	CB
ɯ	ɯ	n	CB
u	u	n	CB
ei	ei	n	CB
ai	ai	n	CB
au	au	n	CB
ɨ̃	ɨ̃	n	CB
ẽ	ẽ	n	CB
ã	ã	n	CB
æ̃	æ̃	n	CB
ũ	ũ	n	CB
ie	i/j e	m n	CB
ia	i/j a	m n	CB
io	i/j o	m n	CB
iɯ	i/j ɯ	m n	CB
iu	i/j u	m n	CB
iau	i/j au	m n	CB
iã	i/j ã	m n	CB
iæ̃	i/j æ̃	m n	CB
iõ	i/j õ	m n	CB
ɨe	ɨe	n	CB
ue	u/w e	m n	CB
ua	u/w a	m n	CB
uei	u/w ei	m n	CB
uai	u/w ai	m n	CB
uẽ	u/w ẽ	m n	CB
uã	u/w ã	m n	CB
ye	y/ɥ e	m n	CB
yĩ	y/ɥ ĩ	m n	CB
ỹ	ỹ	n	CB
yœ̃	y/ɥ œ̃	m n	CB
p	p	i	CJ
pʰ	pʰ	i	CJ
b	b	i	CJ
t	t	i	CJ
tʰ	tʰ	i	CJ
d	d	i	CJ
k	k	i	CJ
kʰ	kʰ	i	CJ
g	g	i	CJ
ts	ts	i	CJ
tsʰ	tsʰ	i	CJ
dz	dz	i	CJ
tɕ	tɕ	i	CJ
tɕʰ	tɕʰ	i	CJ
dʑ	dʑ	i	CJ
f	f	i	CJ
s	s	i	CJ
z	z	i	CJ
ɕ	ɕ	i	CJ
x	x	i	CJ
ɣ	ɣ	i	CJ
ħ	ħ	i	CJ
ʕ	ʕ	i	CJ
m	m	i	CJ
n	n	i	CJ
ɲ	ɲ	i	CJ
ŋ	ŋ	i	CJ
ʔ	ʔ	i	CJ
w	w	i	CJ
l	l	i	CJ
j	j	i	CJ
⁵⁵	⁵⁵	t	CJ
³³	³³	t	CJ
³⁵	³⁵	t	CJ
²¹	²¹	t	CJ
¹³	¹³	t	CJ
i	i	n	CJ
ɨ	ɨ	n	CJ
e	e	n	CJ
a	a	n	CJ
o	o	n	CJ
ɯ	ɯ	n	CJ
u	u	n	CJ
ei	ei	n	CJ
ai	ai	n	CJ
au	au	n	CJ
ɨ̃	ɨ̃	n	CJ
ẽ	ẽ	n	CJ
ã	ã	n	CJ
æ̃	æ̃	n	CJ
ũ	ũ	n	CJ
ie	i/j e	m n	CJ
ia	i/j a	m n	CJ
io	i/j o	m n	CJ
iɯ	i/j ɯ	m n	CJ
iu	i/j u	m n	CJ
iau	i/j au	m n	CJ
iã	i/j ã	m n	CJ
iæ̃	i/j æ̃	m n	CJ
iõ	i/j õ	m n	CJ
ɨe	ɨe	n	CJ
ue	u/w e	m n	CJ
ua	u/w a	m n	CJ
uei	u/w ei	m n	CJ
uai	u/w ai	m n	CJ
uẽ	u/w ẽ	m n	CJ
uã	u/w ã	m n	CJ
ye	y/ɥ e	m n	CJ
yĩ	y/ɥ ĩ	m n	CJ
ỹ	ỹ	n	CJ
yœ̃	y/ɥ œ̃	m n	CJ
p	p	i	FX
pʰ	pʰ	i	FX
t	t	i	FX
tʰ	tʰ	i	FX
k	k	i	FX
kʰ	kʰ	i	FX
ʔ	ʔ	i	FX
ʦ	ts	i	FX
ʦʰ	tsʰ	i	FX
ʨ	tɕ	i	FX
ʨʰ	tɕʰ	i	FX
s	s	i	FX
z	z	i	FX
ɕ	ɕ	i	FX
ʑ	ʑ	i	FX
x	x	i	FX
ɣ	ɣ	i	FX
m	m	i	FX
w	w	i	FX
l	l	i	FX
ȵ	ȵ	i	FX
j	j	i	FX
ŋ	ŋ	i	FX
i	i	n	FX
ɤ	ɤ	n	FX
a	a	n	FX
ɔ	ɔ	n	FX
u	u	n	FX
ai	ai	n	FX
ei	ei	n	FX
au	au	n	FX
ou	ou	n	FX
ĩ	ĩ	n	FX
ɛ̃	ɛ̃	n	FX
ã	ã	n	FX
ɔ̃	ɔ̃	n	FX
iɛ	i/j ɛ	m n	FX
ia	i/j a	m n	FX
iu	i/j u	m n	FX
iau	i/j au	m n	FX
iou	i/j ou	m n	FX
iɛ̃	i/j ɛ̃	m n	FX
iɔ̃	i/j ɔ̃	m n	FX
ua	u/w a	m n	FX
uɔ	u/w ɔ	m n	FX
uai	u/w ai	m n	FX
uei	u/w ei	m n	FX
uɛ̃	u/w ɛ̃	m n	FX
uã	u/w ã	m n	FX
⁵⁵	⁵⁵	t	FX
²⁴	²⁴	t	FX
³⁵	³⁵	t	FX
²¹	²¹	t	FX
⁵¹	⁵¹	t	FX
⁵³	⁵³	t	FX
