No.	Gloss	P.	PBz	TS	FX	XR	XL	CB	CJ							
1	look; 看		*bɑ¹ᴸ	pa⁵¹	pa⁵³	pa⁵⁴	pa⁵³	bo³⁵; bo¹³								
2	to burn; 燃燒		*dɑ¹ᴹ	ta⁵¹				do⁵⁵	ta⁵¹ (2006S)							
3	to pound; 舂		*dɑ⁴	ta²⁴ 'to fall'				do²¹	do²¹ '踩 (to step on)'							
4	to drip; 撒、滴		*dɑ¹ᴴ	ta⁵⁵	ta⁵³	ʦʰə⁵⁴ ta⁵⁴ '滴水 (water drips)'		do⁵⁵								
5	to wear; 穿		*dɑ⁴	ta²⁴	ta³⁵	ta³⁵	ta³⁵	do²¹								
6	to grip; 握		*ǳɑ¹ᴹ		ʦa⁵³ '拿 (to hold)'	ʦa⁵⁴	ʦa⁵³	ǳo¹³								
7	to step on; 踩		*ʥɑ⁴	ʦa²⁴	ʦa³⁵		ʦa³⁵	do²¹								
8	to bite; 咬、吃		*gɑ³	ka⁵¹	ka³⁵	ka³⁵	ka³⁵	go¹³	go⁵³							
9	crow; 烏鴉		*gɑ²	ka²¹	ka²¹	a³³-³¹ kã³³; a³³ ka⁵⁴			go³⁵							
10	to marry (receive); 娶、取		*ɣɑ²	a²¹	a²¹	ɣa³³; ɣa⁵⁴	ɣa²¹	a³⁵								
11	to write; 寫		*ɣɑ³	a²⁴	a³⁵	ɣa³⁵	ɣa³⁵	wo⁵⁵								
12	to go pass; 過 v.		*ɣɑ³	a²⁴	a³⁵	ɣa³⁵	a²¹	wo⁵⁵								
13	to feed; 餵		*ɣɑ¹ᴸ	a⁵¹	a⁵³	a⁵⁴	ɣa⁵³	ʔo¹³								
14	firewood; 柴		*kʰɑ²		kʰa²¹	kʰa⁵⁴;  kʰa³³ tʰõ³³ '木头 (wood)'	kʰa²¹;  kʰa⁵⁵ muŋ⁵⁵ '树'	kʰo³⁵								
15	to lick; 舔		*lɑ⁴	la²⁴	la³⁵		la³⁵	lio²¹	lo²¹							
16	to sew; 縫		*lɑ²	la²¹	la²¹	la³³	la²¹	lo³⁵								
17	road; 路		*lɑ¹ᴹ	la⁵¹	la⁵³	la⁵⁴		lo³³								
18	son-in-law; 女婿		*mɑ⁴	ma²⁴	ma³⁵	ma³³;  ma³⁵		mo²¹ ŋɨ²¹								
19	I; 我		*ŋɑ¹ᴹ	ŋa²⁴	ŋa³⁵ (nom.); ŋa⁵³ (acc.)	ŋa³³	ŋa³⁵	ŋo³³								
20	to cut with knife; 割		*ŋɑ¹ᴸ	ŋa⁵¹	ŋa⁵³	ŋã⁵⁴	ŋ⁵⁵(typo?)	ŋo¹³								
21	small; 小		*sɑ¹ᴹ	suã⁵¹	suan⁵³	so⁵⁴	suã⁵³	sa³³								
22	to split; 劈		*sɑ¹ᴴ	sa⁵⁵	sa⁵⁵	sa⁵⁴	sa²¹	so⁵⁵								
23	silkworm; 蠶		*sɑ¹ᴹ	sai⁵¹	sai⁵³			so³³	so³³ ȵi⁵⁵							
24	to float; 浮		*tʰɑ²	tʰa²¹	tʰa²¹	tʰa³³			to³⁵ (Xu 2020)							
25	good; 好		*ʦʰɑ⁴	ʦʰa²⁴	ʦʰa³⁵	ʦʰa³³-³⁵	ʦʰai³⁵	ʦʰo²¹								
26	to wash; 洗		*zɑ²/@?	ʦa²⁴	ʦa³⁵	ʦa³³	ʦa³⁵	ʦʰe³³ zo¹³	zo³⁵ (sʰower)							
27	negative imperative; 禁止		*tæ¹ᴴ	tʰa⁵¹	tʰa⁵³	tʰa³³		ta³³;  ta²¹;  ta¹³								
28	to pull; 拔		*ʦʰæ²		ʨʰi⁵³ ʨʰa³⁵			ʦʰa³⁵	ʦʰa³⁵							
29	to rise (water); 漲		*dɑC²	tuɔ²¹ 'tɔ flɔw'				da³⁵;  da¹³	da²¹; da³⁵							
30	to chop; 剁		*dɑC¹ᴸ	tuɔ⁵¹	to⁵³ '砍'	tu⁵⁴ to³³ 		da¹³								
